incident_id,year,incident_type
3737,2024,Hijacking with Misuse
3736,2024,Disruption
3735,2024,Disruption
3734,2024,Disruption
3733,2024,Disruption
3732,2024,Disruption
3732,2024,Hijacking with Misuse
3732,2024,Ransomware
3731,2024,Data theft
3731,2024,Disruption
3731,2024,Hijacking with Misuse
3731,2024,Ransomware
3730,2024,Hijacking without Misuse
3729,2024,Disruption
3729,2024,Hijacking with Misuse
3728,2024,Disruption
3727,2024,Data theft
3727,2024,Hijacking with Misuse
3727,2024,Ransomware
3726,2024,Data theft
3726,2024,Hijacking with Misuse
3725,2024,Disruption
3725,2024,Hijacking with Misuse
3725,2024,Ransomware
3724,2024,Hijacking without Misuse
3723,2024,Hijacking with Misuse
3722,2024,Hijacking without Misuse
3721,2024,Data theft
3721,2024,Hijacking with Misuse
3720,2024,Hijacking with Misuse
3719,2024,Data theft
3719,2024,Disruption
3719,2024,Hijacking with Misuse
3719,2024,Ransomware
3718,2023,Hijacking with Misuse
3717,2024,Data theft
3717,2024,Disruption
3717,2024,Hijacking with Misuse
3717,2024,Ransomware
3716,2024,Disruption
3716,2024,Hijacking with Misuse
3715,2024,Disruption
3714,2024,Hijacking without Misuse
3711,2024,Disruption
3711,2024,Hijacking with Misuse
3708,2022,Data theft
3708,2022,Hijacking with Misuse
3707,2024,Disruption
3707,2024,Hijacking with Misuse
3707,2024,Disruption
3707,2024,Hijacking with Misuse
3706,2024,Data theft
3706,2024,Hijacking with Misuse
3705,2024,Disruption
3704,2024,Data theft
3704,2024,Hijacking with Misuse
3703,2024,Data theft
3703,2024,Disruption
3703,2024,Hijacking without Misuse
3702,2024,Disruption
3702,2024,Hijacking with Misuse
3702,2024,Ransomware
3701,2024,Data theft & Doxing
3701,2024,Disruption
3701,2024,Hijacking with Misuse
3701,2024,Ransomware
3700,2024,Data theft
3700,2024,Disruption
3700,2024,Hijacking with Misuse
3699,2024,Data theft & Doxing
3699,2024,Hijacking with Misuse
3698,2024,Hijacking with Misuse
3697,2024,Hijacking without Misuse
3696,2024,Disruption
3696,2024,Hijacking with Misuse
3696,2024,Ransomware
3695,2024,Data theft
3695,2024,Disruption
3695,2024,Hijacking with Misuse
3695,2024,Ransomware
3694,2024,Data theft
3694,2024,Disruption
3694,2024,Hijacking with Misuse
3694,2024,Ransomware
3693,2024,Data theft
3693,2024,Hijacking with Misuse
3692,2024,Disruption
3692,2024,Hijacking with Misuse
3691,2024,Disruption
3690,2024,Hijacking with Misuse
3689,2024,Disruption
3688,2024,Hijacking with Misuse
3686,2024,Data theft
3686,2024,Disruption
3686,2024,Hijacking with Misuse
3686,2024,Ransomware
3685,2024,Data theft & Doxing
3685,2024,Hijacking with Misuse
3685,2024,Ransomware
3683,2024,Hijacking with Misuse
3682,2024,Hijacking with Misuse
3681,2024,Disruption
3681,2024,Hijacking with Misuse
3681,2024,Ransomware
3680,2024,Disruption
3680,2024,Hijacking with Misuse
3679,2024,Data theft
3679,2024,Disruption
3679,2024,Hijacking with Misuse
3679,2024,Ransomware
3678,2024,Disruption
3677,2024,Disruption
3677,2024,Hijacking with Misuse
3677,2024,Ransomware
3675,2024,Data theft
3675,2024,Hijacking with Misuse
3674,2024,Data theft
3674,2024,Hijacking with Misuse
3674,2024,Ransomware
3673,2024,Hijacking without Misuse
3672,2024,Data theft
3672,2024,Hijacking with Misuse
3671,2023,Data theft
3671,2023,Hijacking with Misuse
3670,2023,Hijacking with Misuse
3669,2024,Disruption
3669,2024,Hijacking with Misuse
3668,2024,Disruption
3668,2024,Hijacking with Misuse
3668,2024,Ransomware
3667,2024,Disruption
3666,2024,Hijacking without Misuse
3665,2024,Disruption
3664,2024,Disruption
3663,2024,Data theft
3663,2024,Hijacking with Misuse
3662,2024,Hijacking with Misuse
3661,2024,Data theft
3661,2024,Hijacking with Misuse
3660,2024,Data theft
3660,2024,Hijacking with Misuse
3659,2024,Disruption
3659,2024,Hijacking with Misuse
3659,2024,Ransomware
3658,2024,Disruption
3658,2024,Hijacking with Misuse
3658,2024,Ransomware
3657,2024,Disruption
3657,2024,Hijacking with Misuse
3657,2024,Ransomware
3655,2024,Data theft
3655,2024,Hijacking with Misuse
3653,2024,Disruption
3652,2024,Data theft
3652,2024,Disruption
3652,2024,Hijacking with Misuse
3652,2024,Ransomware
3651,2024,Data theft & Doxing
3651,2024,Disruption
3651,2024,Hijacking with Misuse
3650,2024,Data theft
3650,2024,Hijacking with Misuse
3649,2024,Disruption
3649,2024,Hijacking with Misuse
3649,2024,Ransomware
3648,2022,Data theft
3648,2022,Hijacking with Misuse
3647,2022,Data theft
3647,2022,Hijacking with Misuse
3646,2024,Disruption
3646,2024,Ransomware
3645,2024,Hijacking with Misuse
3644,2024,Hijacking with Misuse
3643,2024,Hijacking with Misuse
3642,2024,Disruption
3640,2024,Disruption
3640,2024,Hijacking with Misuse
3640,2024,Ransomware
3639,2024,Hijacking without Misuse
3638,2024,Disruption
3638,2024,Hijacking with Misuse
3637,2024,Disruption
3637,2024,Hijacking with Misuse
3635,2023,Disruption
3635,2023,Hijacking with Misuse
3635,2023,Ransomware
3634,2024,Hijacking with Misuse
3633,2024,Data theft & Doxing
3633,2024,Hijacking with Misuse
3633,2024,Ransomware
3632,2024,Disruption
3632,2024,Hijacking with Misuse
3632,2024,Ransomware
3631,2024,Data theft
3631,2024,Hijacking with Misuse
3630,2024,Hijacking with Misuse
3629,2024,Data theft
3629,2024,Hijacking with Misuse
3628,2024,Hijacking without Misuse
3627,2024,Disruption
3627,2024,Hijacking with Misuse
3626,2024,Hijacking with Misuse
3625,2024,Disruption
3625,2024,Hijacking with Misuse
3625,2024,Ransomware
3624,2024,Data theft
3624,2024,Disruption
3624,2024,Hijacking with Misuse
3624,2024,Ransomware
3623,2024,Hijacking with Misuse
3622,2024,Data theft
3622,2024,Hijacking with Misuse
3622,2024,Ransomware
3621,2019,Hijacking without Misuse
3620,2024,Data theft
3620,2024,Hijacking with Misuse
3619,2024,Disruption
3619,2024,Hijacking with Misuse
3619,2024,Ransomware
3617,2024,Disruption
3616,2024,Hijacking with Misuse
3615,2024,Hijacking with Misuse
